sexo,idade,altura,peso,historico_obesidade_familia,consome_comida_calorica,consome_vegetais,n_refeicoes,come_entre_refeicoes,fuma,consumo_diario_agua,frequencia_atividade_fisica,tempo_usando_eletronicos,consumo_alcool,tipo_transporte
F,26.0,1.631856,110.804337,sim,sim,3.0,3.0,as vezes,nao,2.70485,0.0,0.243338,as vezes,transporte publico
M,25.057878,1.763987,113.069667,sim,sim,1.412566,3.0,as vezes,nao,2.002495,1.592795,0.001867,as vezes,transporte publico
M,21.0,1.617469,,nao,sim,1.206276,,nao,nao,2.406541,0.94984,0.479221,as vezes,transporte publico
F,18.094079,1.723328,50.0,nao,sim,1.052699,3.998618,frequentemente,nao,1.0,2.0,1.0,as vezes,transporte publico
F,19.0,1.6,60.0,nao,sim,2.0,3.0,frequentemente,nao,2.0,0.0,1.0,as vezes,transporte publico
M,24.000307,1.607939,100.618239,sim,sim,2.877743,1.311797,as vezes,nao,,0.182249,1.4312,nao,transporte publico
M,19.0,1.69,65.0,nao,sim,2.0,3.0,frequentemente,nao,1.0,1.0,1.0,as vezes,transporte publico
F,23.365041,1.744319,,sim,sim,3.0,3.0,as vezes,nao,2.839069,1.231031,,as vezes,transporte publico
M,24.122589,1.856759,95.887056,,sim,1.116068,2.449067,as vezes,nao,2.0,0.92635,1.97117,as vezes,transporte publico
M,22.0,1.88,90.0,sim,sim,2.0,3.0,sempre,nao,1.0,0.0,1.0,as vezes,carro
F,25.974446,1.628855,108.090006,sim,sim,3.0,3.0,as vezes,nao,1.757105,0.085119,0.465444,as vezes,transporte publico
F,26.0,1.629191,104.826776,sim,sim,3.0,3.0,as vezes,nao,2.654702,0.0,0.555468,as vezes,transporte publico
M,,1.92,130.0,sim,nao,2.0,3.0,as vezes,sim,1.0,1.0,0.0,as vezes,transporte publico
F,21.207423,1.707508,121.864326,sim,sim,3.0,3.0,as vezes,nao,1.615548,1.376534,0.926052,as vezes,transporte publico
M,18.0,1.72,53.0,sim,sim,2.0,3.0,as vezes,nao,2.0,0.0,2.0,as vezes,transporte publico
F,20.0,1.65,75.0,sim,sim,3.0,1.0,as vezes,nao,2.0,1.0,1.0,nao,
M,25.920738,1.823755,105.800158,sim,sim,2.92711,3.0,as vezes,nao,2.151496,1.166064,1.509831,as vezes,
M,30.605464,1.754796,118.805937,sim,sim,2.907542,3.0,as vezes,nao,2.284494,0.647632,1.668318,as vezes,carro
M,18.0,1.78,108.0,sim,nao,2.0,3.0,,nao,3.0,1.0,0.0,nao,
M,29.216019,1.752265,88.096062,sim,sim,2.0,1.894384,as vezes,nao,2.0,0.0,0.0,as vezes,transporte publico
F,22.836315,1.604893,82.0,sim,sim,1.00876,1.0,as vezes,nao,2.0,0.0,0.585912,as vezes,transporte publico
M,17.894784,1.731389,84.064875,sim,nao,,2.843319,as vezes,nao,2.832004,1.0,0.608607,as vezes,transporte publico
M,22.0,1.72,68.0,sim,sim,2.0,3.0,as vezes,nao,2.0,1.0,1.0,nao,transporte publico
M,31.571392,1.767485,120.158049,sim,sim,2.57691,3.0,as vezes,nao,2.080187,1.04268,0.376683,as vezes,carro
M,29.216019,1.752265,88.096062,sim,sim,2.0,1.894384,as vezes,nao,2.0,0.0,0.0,as vezes,transporte publico
M,17.038222,1.710564,51.588874,nao,sim,2.0,2.057935,as vezes,nao,2.371015,0.288032,0.714627,as vezes,transporte publico
M,19.089595,1.700164,99.204695,,sim,2.0,2.119826,as vezes,nao,2.0,0.0,1.882539,nao,transporte publico
M,31.490699,1.773521,120.209711,sim,sim,2.777165,3.0,as vezes,nao,2.106861,0.925941,0.2916,as vezes,carro
M,25.822348,1.766626,114.187096,sim,sim,2.075321,3.0,as vezes,nao,2.144838,1.501754,0.276319,as vezes,transporte publico
M,21.963457,1.697228,75.5771,sim,,2.204914,3.623364,as vezes,nao,1.815293,0.989316,0.0,as vezes,transporte publico
M,21.125836,1.638085,70.0,nao,sim,2.0,1.0,nao,nao,2.115967,0.770536,0.0,,transporte publico
F,21.330178,1.747987,147.296186,,sim,3.0,3.0,as vezes,nao,2.336349,1.4164,0.711724,as vezes,transporte publico
F,18.0,1.456346,55.523481,nao,sim,2.0,3.0,as vezes,nao,1.040342,0.497373,1.783319,as vezes,transporte publico
F,,1.789555,137.767787,sim,sim,3.0,3.0,as vezes,nao,2.832659,1.505775,0.923005,as vezes,transporte publico
M,21.0,1.85,83.0,sim,sim,2.0,1.0,frequentemente,nao,3.0,1.0,0.0,nao,transporte publico
M,24.079971,1.61981,98.54302,sim,sim,2.95841,2.434347,as vezes,nao,1.0,1.930033,0.754023,nao,transporte publico
M,,1.748103,108.308112,sim,sim,2.317459,3.734323,as vezes,nao,1.0,1.628637,0.0,nao,carro
F,23.444286,1.596466,44.594588,nao,nao,2.594653,1.882158,frequentemente,nao,1.916812,0.417119,0.0,nao,transporte publico
F,18.634286,1.669354,126.088301,sim,sim,3.0,3.0,as vezes,nao,1.144539,0.922014,0.899673,as vezes,transporte publico
,20.0,1.87,75.0,nao,sim,2.0,3.0,frequentemente,nao,1.0,1.0,1.0,as vezes,transporte publico
F,19.0,1.63,76.0,sim,nao,3.0,3.0,frequentemente,sim,3.0,2.0,1.0,as vezes,carro
M,21.0,1.88,84.0,sim,sim,3.0,3.0,as vezes,nao,3.0,2.0,1.0,as vezes,andando
M,23.0,1.799406,106.528811,sim,sim,2.123159,3.0,as vezes,nao,2.415343,,0.569852,as vezes,transporte publico
F,25.777565,1.628205,107.378702,sim,sim,3.0,3.0,as vezes,nao,2.506631,0.025787,0.484165,as vezes,transporte publico
M,26.199321,1.885119,121.065052,,sim,2.423291,3.0,as vezes,nao,2.902682,1.243567,0.555591,as vezes,transporte publico
F,26.0,1.641849,111.682693,sim,sim,3.0,3.0,as vezes,nao,2.632253,0.0,0.244205,,transporte publico
F,19.529746,1.751038,133.843033,sim,sim,3.0,3.0,as vezes,nao,2.955075,1.46046,0.655558,as vezes,transporte publico
F,20.492077,1.529223,65.140408,sim,nao,2.003951,3.0,as vezes,nao,1.207978,1.916751,1.228995,nao,transporte publico
M,19.97166,1.822573,85.084364,sim,sim,2.995599,3.095663,as vezes,nao,,,0.330457,as vezes,transporte publico
M,17.0,1.8,58.0,nao,sim,2.0,3.0,frequentemente,nao,2.0,2.0,1.0,nao,andando
F,40.789529,1.549748,,sim,sim,2.0,1.099151,as vezes,nao,1.687611,1.874662,0.0,as vezes,carro
F,26.0,1.623707,,sim,sim,3.0,3.0,,nao,2.553198,0.0,0.393838,as vezes,transporte publico
M,24.0409,1.603226,99.605527,sim,sim,3.0,1.262831,as vezes,nao,1.0,0.883171,1.382995,nao,transporte publico
F,23.0,1.611058,84.191125,sim,sim,2.14128,2.989112,as vezes,nao,2.519841,2.11137,0.013483,nao,transporte publico
M,22.829753,1.765137,116.669906,sim,sim,1.482722,3.0,as vezes,nao,2.0,1.112504,0.690353,as vezes,transporte publico
M,18.0,1.803527,108.251044,sim,sim,,1.709546,as vezes,nao,2.530157,1.0,0.6454,nao,transporte publico
F,18.0,1.67,91.0,sim,sim,1.0,3.0,frequentemente,nao,1.0,0.0,1.0,as vezes,transporte publico
F,18.0,1.7,50.0,nao,sim,1.031149,,as vezes,nao,1.963628,0.028202,1.0,as vezes,transporte publico
F,30.0,1.62,59.0,sim,sim,3.0,3.0,as vezes,nao,2.0,2.0,0.0,as vezes,
F,18.535075,1.688025,45.0,nao,sim,3.0,3.0,as vezes,nao,3.0,2.539762,1.283673,nao,transporte publico
,20.327723,1.782714,154.618446,sim,sim,,3.0,as vezes,nao,2.319559,1.97073,0.768375,as vezes,transporte publico
F,35.0,1.53,45.0,sim,nao,3.0,3.0,frequentemente,nao,1.0,0.0,1.0,nao,carro
,20.388049,1.777971,137.785027,,sim,3.0,3.0,as vezes,nao,2.702789,1.606109,0.731213,as vezes,
M,18.0,1.84,60.0,sim,sim,3.0,4.0,as vezes,nao,2.0,2.0,0.0,as vezes,carro
F,43.591999,1.595165,77.354744,sim,sim,2.0,3.0,as vezes,nao,2.117346,0.0,0.0,nao,carro
M,22.018228,1.627396,70.0,nao,sim,2.0,1.0,nao,nao,2.976177,0.780117,0.0,as vezes,transporte publico
F,25.196214,1.686306,104.572712,sim,sim,3.0,3.0,as vezes,nao,1.152736,0.319156,1.0,as vezes,transporte publico
F,18.826782,1.746416,133.747012,sim,sim,3.0,3.0,as vezes,nao,2.858389,1.444382,0.713823,as vezes,transporte publico
F,19.314964,1.661403,49.932199,nao,sim,2.205439,3.0,as vezes,nao,1.530531,2.0,1.0,as vezes,transporte publico
M,18.0,1.811738,108.897324,sim,sim,2.0,1.202179,as vezes,nao,2.36293,1.0,1.47574,nao,transporte publico
F,37.496175,1.653088,80.0,sim,sim,2.033745,3.0,as vezes,nao,1.517225,0.0,1.517897,nao,carro
F,26.0,1.622701,109.982692,sim,sim,3.0,3.0,as vezes,nao,2.688229,0.0,0.451377,as vezes,transporte publico
F,,1.706343,93.348843,sim,sim,1.70825,3.0,as vezes,nao,1.0,0.899864,1.0,as vezes,transporte publico
M,23.912387,1.774983,119.081804,sim,sim,2.425503,2.996834,as vezes,nao,2.017602,1.580263,0.531769,as vezes,transporte publico
F,18.0,1.62,55.0,sim,sim,2.0,3.0,frequentemente,nao,1.0,1.0,1.0,nao,transporte publico
F,,1.617749,68.908136,sim,sim,1.188089,3.269088,as vezes,nao,2.039535,0.779686,1.043108,as vezes,transporte publico
F,19.0,1.76,79.349221,sim,sim,2.0,1.893811,as vezes,nao,3.0,1.376229,1.801322,nao,transporte publico
M,30.722801,1.779325,120.751656,sim,sim,2.519592,3.0,as vezes,nao,2.229145,0.350717,1.140348,as vezes,carro
M,,1.810215,105.254354,sim,sim,2.39728,2.036794,as vezes,nao,2.659419,1.062011,1.771135,as vezes,carro
F,25.540865,1.668709,104.754958,sim,sim,3.0,3.0,as vezes,nao,1.412049,0.143955,0.753077,as vezes,transporte publico
F,39.135634,1.507867,79.58958,sim,sim,2.0,3.0,as vezes,nao,1.0,0.0,0.0,as vezes,carro
M,22.336216,1.785718,105.055686,sim,sim,2.253707,3.0,as vezes,nao,2.524432,0.58216,0.175694,as vezes,transporte publico
F,20.744839,1.667852,49.803921,sim,sim,2.977018,3.193671,frequentemente,nao,2.482933,2.0,1.0,nao,transporte publico
,29.740496,1.820471,87.668828,nao,,3.0,3.0,as vezes,nao,1.174611,2.0,0.0,nao,carro
M,27.991467,1.82559,120.860386,sim,sim,3.0,3.0,as vezes,nao,3.0,0.691369,1.415536,as vezes,transporte publico
M,18.470562,1.856406,58.673963,sim,,2.34222,3.937099,as vezes,nao,2.311791,2.013377,1.128355,nao,carro
F,19.94814,1.530884,39.371523,nao,sim,1.522001,3.0,as vezes,nao,1.98126,2.306844,0.720454,as vezes,transporte publico
M,29.827481,1.899588,124.269251,sim,sim,2.048962,3.0,as vezes,nao,2.822871,1.066169,0.0,,transporte publico
M,20.068432,1.657132,105.580491,sim,sim,2.724121,1.437959,,nao,1.590418,0.029603,1.122118,nao,transporte publico
F,38.0,1.55,59.0,sim,nao,3.0,3.0,as vezes,nao,1.0,2.0,1.0,frequentemente,carro
F,18.836315,1.751631,80.0,sim,sim,2.0,1.73762,as vezes,nao,2.207978,2.641072,0.707044,frequentemente,transporte publico
F,26.0,1.622397,110.79263,sim,sim,3.0,3.0,as vezes,nao,2.704507,0.0,0.29499,as vezes,
M,27.0,1.880992,99.623778,sim,sim,2.684528,1.0,as vezes,nao,1.05668,1.516147,0.084006,as vezes,transporte publico
M,23.0,1.87,95.0,sim,sim,1.0,3.0,frequentemente,nao,2.0,0.0,2.0,frequentemente,transporte publico
F,22.991668,1.740295,54.166453,sim,sim,3.0,3.0,frequentemente,nao,2.025279,2.0,0.152985,nao,transporte publico
F,26.0,1.639251,111.927001,sim,sim,3.0,,as vezes,nao,2.675567,0.0,0.081929,as vezes,transporte publico
M,22.675679,1.823765,96.945262,sim,sim,1.588782,2.601675,as vezes,nao,2.469469,1.736538,1.886855,as vezes,transporte publico
F,34.0,1.68,75.0,nao,sim,3.0,1.0,,nao,1.0,0.0,0.0,as vezes,carro
M,30.0,1.75,73.0,sim,nao,2.0,3.0,,nao,2.0,1.0,0.0,as vezes,andando
M,19.0,1.78,81.0,sim,nao,1.0,3.0,as vezes,nao,2.0,3.0,0.0,nao,bicicleta
M,37.056193,1.75015,118.206565,sim,sim,2.09283,3.0,as vezes,nao,2.077704,0.598655,0.0,as vezes,carro
F,39.129291,1.532643,77.550345,sim,sim,2.0,3.0,as vezes,nao,1.186996,0.0,0.0,as vezes,carro
F,19.88036,1.670635,49.742931,nao,nao,2.88626,3.559841,frequentemente,nao,1.632004,2.0,1.0,as vezes,transporte publico
F,22.875223,1.624367,82.0,sim,sim,1.826885,1.0,as vezes,nao,2.0,0.0,0.459274,nao,
F,18.862264,1.746277,128.705761,sim,sim,3.0,3.0,as vezes,nao,2.411582,0.985287,0.675076,as vezes,transporte publico
M,18.0,1.82093,108.742005,sim,sim,,1.25535,as vezes,nao,2.497065,1.0,1.441605,nao,transporte publico
F,22.676243,1.620938,82.283185,sim,sim,1.967061,1.0,as vezes,nao,2.548651,0.249264,1.516731,as vezes,transporte publico
F,25.986368,1.668951,112.249699,sim,sim,3.0,3.0,as vezes,nao,,0.043101,0.138629,as vezes,transporte publico
F,21.95994,1.483284,62.894283,sim,nao,2.0,1.680838,as vezes,nao,1.833635,0.281876,0.575848,nao,transporte publico
M,29.506287,1.82697,108.751502,sim,sim,2.0,2.877583,as vezes,nao,2.358038,0.877295,1.817146,as vezes,carro
F,25.524336,1.668931,104.768318,sim,sim,3.0,3.0,as vezes,nao,1.436616,0.167086,0.764717,as vezes,transporte publico
M,24.201622,,120.589419,sim,sim,2.113843,3.0,as vezes,nao,2.316069,1.804157,0.357314,as vezes,transporte publico
M,25.66668,1.79858,117.93329,sim,sim,2.037042,3.0,as vezes,nao,2.43699,1.016254,0.020044,as vezes,
F,22.829681,1.616085,82.582954,sim,sim,2.663866,1.416309,as vezes,nao,2.379275,0.256323,0.598244,,transporte publico
M,22.0,1.74,75.0,sim,,3.0,3.0,frequentemente,nao,1.0,1.0,0.0,nao,carro
M,22.126325,1.717262,98.579156,sim,sim,2.0,2.984523,as vezes,nao,2.263551,2.819661,2.0,nao,transporte publico
M,18.424941,1.753389,54.121925,sim,sim,2.0,3.16645,as vezes,nao,2.278578,1.838881,2.0,as vezes,transporte publico
M,18.426619,1.777108,57.145917,sim,sim,2.0,3.092116,as vezes,nao,2.426465,2.0,1.839862,nao,
M,17.570089,1.7,83.199034,sim,nao,2.097373,2.547086,as vezes,nao,1.538626,1.0,0.761898,nao,transporte publico
F,21.0,1.54,56.0,nao,sim,2.0,1.0,as vezes,nao,2.0,0.0,2.0,as vezes,transporte publico
F,21.0,1.53,53.0,nao,sim,3.0,3.0,as vezes,nao,2.0,2.0,1.0,as vezes,transporte publico
F,19.442663,1.627812,82.0,sim,sim,1.081585,2.870661,as vezes,nao,1.11756,0.0,1.616826,as vezes,transporte publico
M,34.432669,1.694997,84.451423,sim,sim,,2.693646,as vezes,nao,2.60669,1.170823,0.290898,nao,carro
F,21.412434,1.675562,121.639178,sim,sim,3.0,3.0,as vezes,nao,1.484938,0.74225,0.604692,as vezes,transporte publico
M,22.814657,1.716289,75.688433,sim,sim,2.0,3.0,as vezes,nao,2.0,0.092344,1.466496,as vezes,transporte publico
M,29.429687,1.910987,129.935666,sim,sim,2.200588,3.0,as vezes,nao,,1.058378,0.0,as vezes,transporte publico
F,20.590046,1.736276,130.927138,sim,sim,3.0,3.0,as vezes,nao,1.852692,1.46361,0.962336,as vezes,transporte publico
F,25.902283,1.669701,104.585783,sim,sim,3.0,3.0,as vezes,nao,1.570188,0.210351,0.881848,as vezes,transporte publico
M,18.026457,1.752123,80.0,sim,sim,2.0,2.794156,as vezes,nao,2.377362,0.101236,0.105895,nao,
F,,1.615854,80.615325,sim,sim,2.0,1.0,as vezes,nao,2.0,0.026142,0.0,nao,transporte publico
M,26.787842,1.817641,87.107317,nao,sim,2.971588,2.743277,as vezes,nao,1.394883,2.0,0.470243,nao,carro
F,21.0285,1.742364,78.664618,sim,sim,2.780699,1.101404,as vezes,nao,1.579207,1.153775,0.0,as vezes,transporte publico
M,26.015448,1.829907,105.436173,sim,sim,3.0,3.0,as vezes,nao,2.224914,1.781589,1.59405,as vezes,transporte publico
F,18.603496,1.681719,90.671871,sim,sim,1.524428,3.0,,nao,1.383831,0.130417,1.0,as vezes,transporte publico
F,25.919241,1.611462,102.093223,sim,sim,3.0,3.0,as vezes,nao,1.023328,0.05093,1.0,as vezes,transporte publico
F,21.051107,1.753266,133.852432,sim,sim,3.0,3.0,as vezes,nao,2.95311,1.445148,0.67321,as vezes,transporte publico
,25.966504,1.63073,104.790549,sim,sim,3.0,3.0,as vezes,nao,2.436097,0.129178,0.683736,as vezes,transporte publico
M,23.0,1.72,,sim,nao,3.0,,frequentemente,nao,1.0,0.0,0.0,as vezes,transporte publico
F,21.376426,1.722527,50.833029,nao,nao,3.0,3.285167,frequentemente,nao,1.569082,0.545931,0.469735,as vezes,transporte publico
M,25.994393,1.753321,107.998815,sim,sim,3.0,3.0,as vezes,nao,1.776991,1.757724,0.0,as vezes,carro
F,18.314593,1.745602,133.554686,sim,sim,3.0,3.0,as vezes,nao,2.923792,1.536555,0.62535,as vezes,transporte publico
F,18.0,,50.0,nao,sim,3.0,3.0,as vezes,nao,1.0,0.0,0.0,as vezes,carro
F,33.251015,1.730379,75.920519,sim,sim,2.013782,2.625942,as vezes,nao,1.045586,0.553305,0.480214,as vezes,carro
F,19.483036,1.53777,42.0,nao,sim,3.0,1.0,frequentemente,nao,1.387531,0.0,0.466169,as vezes,transporte publico
M,21.0,1.71,75.0,nao,nao,2.0,3.0,frequentemente,nao,3.0,3.0,1.0,frequentemente,carro
M,22.352025,1.754711,105.000706,sim,sim,2.871137,3.0,as vezes,nao,2.627569,1.0,0.0,as vezes,transporte publico
M,25.492855,1.770124,114.163921,sim,,2.159033,3.0,as vezes,nao,2.116399,1.331526,0.052942,as vezes,
F,31.539393,1.657496,73.641633,sim,sim,2.0,3.0,as vezes,nao,1.0,0.0,1.112489,as vezes,carro
M,22.580038,1.849507,121.560938,sim,sim,3.0,2.272801,as vezes,nao,1.560064,0.79677,0.0,as vezes,transporte publico
F,25.96701,1.654875,104.758713,sim,sim,3.0,3.0,as vezes,nao,2.612758,0.24629,,as vezes,transporte publico
M,23.0,1.774644,105.966894,sim,sim,2.312825,3.0,as vezes,nao,2.073497,0.614466,0.579541,as vezes,transporte publico
F,27.0,1.55,62.0,nao,sim,3.0,1.0,as vezes,nao,1.0,,0.0,as vezes,transporte publico
F,21.0,1.54,47.0,sim,nao,3.0,3.0,sempre,nao,1.0,,0.0,nao,transporte publico
M,27.83173,1.704028,101.634313,sim,sim,2.630401,1.0,as vezes,nao,1.0,0.245354,0.315261,as vezes,carro
,20.0,1.87,75.0,nao,sim,2.0,3.0,frequentemente,nao,1.0,1.0,1.0,as vezes,transporte publico
M,16.0,1.84,45.0,sim,sim,3.0,3.0,sempre,nao,3.0,3.0,2.0,as vezes,andando
F,17.082867,1.640824,43.365005,nao,sim,2.815157,3.0,as vezes,nao,2.911187,2.595128,1.380204,as vezes,transporte publico
F,18.0,1.59,53.0,nao,nao,1.0,3.0,as vezes,nao,1.0,1.0,2.0,nao,transporte publico
M,18.0,1.717826,51.7325,sim,sim,,3.0,as vezes,nao,1.325326,0.227985,1.708309,as vezes,transporte publico
F,19.0,1.65,82.0,sim,sim,3.0,3.0,as vezes,nao,1.0,0.0,1.0,as vezes,transporte publico
M,19.703095,1.704141,78.790936,sim,nao,1.650505,3.0,as vezes,nao,2.0,1.73234,1.0,as vezes,transporte publico
F,21.0,1.53,53.0,nao,sim,3.0,3.0,as vezes,nao,2.0,2.0,1.0,as vezes,transporte publico
M,,1.824432,105.131956,sim,,3.0,3.0,as vezes,nao,2.110611,1.890907,1.58483,as vezes,transporte publico
M,33.722449,,103.276087,sim,sim,2.525884,2.040582,as vezes,nao,1.0,1.67036,0.023959,nao,transporte publico
M,,1.74,64.0,nao,nao,3.0,3.0,as vezes,nao,2.0,0.0,1.0,nao,transporte publico
F,25.919571,1.610488,102.174953,sim,sim,3.0,3.0,as vezes,nao,1.032834,0.04525,0.922749,,transporte publico
M,22.591439,1.65,80.0,sim,sim,2.0,3.0,as vezes,,2.0,0.451078,2.0,nao,transporte publico
M,50.832559,1.745528,82.130728,sim,sim,2.0,3.0,as vezes,nao,1.774778,0.943266,0.0,nao,carro
F,26.0,1.622418,110.676343,sim,sim,3.0,3.0,as vezes,nao,2.691584,0.0,0.425473,as vezes,transporte publico
M,22.0,1.65,56.0,nao,nao,3.0,3.0,as vezes,nao,3.0,2.0,0.0,as vezes,transporte publico
M,22.0,1.72,68.0,sim,sim,2.0,3.0,as vezes,nao,2.0,1.0,1.0,nao,transporte publico
F,16.370009,1.613921,66.738769,sim,sim,2.206399,1.0,as vezes,nao,2.0,0.94893,1.772463,nao,transporte publico
F,19.528936,1.817917,142.559161,,sim,3.0,3.0,as vezes,nao,2.562002,1.976427,0.740331,as vezes,transporte publico
F,22.804818,1.613119,82.636162,sim,sim,2.964419,1.0,as vezes,nao,2.977516,0.742113,2.0,as vezes,transporte publico
F,26.0,1.622418,110.676343,sim,sim,3.0,3.0,as vezes,nao,2.691584,0.0,0.425473,as vezes,transporte publico
,20.848608,1.726606,131.76807,sim,sim,3.0,3.0,as vezes,nao,1.759352,1.469928,0.950438,as vezes,transporte publico
M,22.874658,1.713343,75.828119,sim,sim,2.507841,3.648194,as vezes,nao,1.279756,0.132629,1.82753,as vezes,transporte publico
